old_dir	citekey	topic	number	status	title
Artificial_Intelligence/papers/46_ronneberger_2015	ronneberger2015unet	Artificial_Intelligence	46	 	U-Net: Convolutional Networks for Biomedical Image Segmentation
Artificial_Intelligence/papers/47_ren_2017	ren2017faster	Artificial_Intelligence	47	 	Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks
Artificial_Intelligence/papers/48_redmon_2016	redmon2016you	Artificial_Intelligence	48	 	You Only Look Once: Unified, Real-Time Object Detection (YOLO)
Artificial_Intelligence/papers/49_schulman_2015	schulman2015trust	Artificial_Intelligence	49	 	Trust Region Policy Optimization (TRPO)
Artificial_Intelligence/papers/50_silver_2018	silver2018general	Artificial_Intelligence	50	 	A General Reinforcement Learning Algorithm That Masters Chess, Shogi, and Go through Self-Play (AlphaZero)
Artificial_Intelligence/papers/51_senior_2020	senior2020improved	Artificial_Intelligence	51	 	Improved Protein Structure Prediction Using Potentials from Deep Learning (AlphaFold 1)
Artificial_Intelligence/papers/52_raffel_2019	raffel2019exploring	Artificial_Intelligence	52	 	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer (T5)
Artificial_Intelligence/papers/53_fedus_2021	fedus2021switch	Artificial_Intelligence	53	 	Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity
Artificial_Intelligence/papers/54_hu_2021	hu2021lora	Artificial_Intelligence	54	 	LoRA: Low-Rank Adaptation of Large Language Models
Artificial_Intelligence/papers/55_wei_2022	wei2022chainofthought	Artificial_Intelligence	55	 	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models
Artificial_Intelligence/papers/57_hoffmann_2022	hoffmann2022training	Artificial_Intelligence	57	 	Training Compute-Optimal Large Language Models (Chinchilla)
Artificial_Intelligence/papers/58_chowdhery_2022	chowdhery2022palm	Artificial_Intelligence	58	 	PaLM: Scaling Language Modeling with Pathways
Artificial_Intelligence/papers/59_yao_2022	yao2022react	Artificial_Intelligence	59	 	ReAct: Synergizing Reasoning and Acting in Language Models
Artificial_Intelligence/papers/60_rombach_2022	rombach2022highresolution	Artificial_Intelligence	60	 	High-Resolution Image Synthesis with Latent Diffusion Models (Stable Diffusion)
Artificial_Intelligence/papers/61_achiam_2023	achiam2023gpt4	Artificial_Intelligence	61	 	GPT-4 Technical Report
Artificial_Intelligence/papers/62_touvron_2023	touvron2023llama	Artificial_Intelligence	62	 	LLaMA: Open and Efficient Foundation Language Models
Artificial_Intelligence/papers/63_schick_2023	schick2023toolformer	Artificial_Intelligence	63	 	Toolformer: Language Models Can Teach Themselves to Use Tools
Artificial_Intelligence/papers/64_yao_2023	yao2023tree	Artificial_Intelligence	64	 	Tree of Thoughts: Deliberate Problem Solving with Large Language Models
Artificial_Intelligence/papers/65_rafailov_2023	rafailov2023direct	Artificial_Intelligence	65	 	Direct Preference Optimization: Your Language Model is Secretly a Reward Model (DPO)
Artificial_Intelligence/papers/66_jiang_2023	jiang2023mistral	Artificial_Intelligence	66	 	Mistral 7B
Artificial_Intelligence/papers/67_gu_2023	gu2023mamba	Artificial_Intelligence	67	 	Mamba: Linear-Time Sequence Modeling with Selective State Spaces
Artificial_Intelligence/papers/68_jiang_2024	jiang2024mixtral	Artificial_Intelligence	68	 	Mixtral of Experts
Artificial_Intelligence/papers/69_deepseek_2025	deepseek2025deepseekr1	Artificial_Intelligence	69	 	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning
Heliosphere_Solar_Wind/papers/06_berriot_2024	berriot2024identification	Heliosphere_Solar_Wind	6	x	Identification of a single plasma parcel during a radial alignment of the Parker Solar Probe and Solar Orbiter
Living_Reviews_in_Solar_Physics/papers/01_wood_2004	wood2004astrospheres	Living_Reviews_in_Solar_Physics	1	x	Astrospheres and Solar-like Stellar Winds
Living_Reviews_in_Solar_Physics/papers/02_miesch_2005	miesch2005largescale	Living_Reviews_in_Solar_Physics	2	x	Large-Scale Dynamics of the Convection Zone and Tachocline
Living_Reviews_in_Solar_Physics/papers/03_nakariakov_2005	nakariakov2005coronal	Living_Reviews_in_Solar_Physics	3	x	Coronal Waves and Oscillations
Living_Reviews_in_Solar_Physics/papers/04_sheeley_2005	sheeley2005surface	Living_Reviews_in_Solar_Physics	4	x	Surface Evolution of the Sun's Magnetic Field: A Historical Review of the Flux-Transport Mechanism
Living_Reviews_in_Solar_Physics/papers/05_gizon_2005	gizon2005local	Living_Reviews_in_Solar_Physics	5	x	Local Helioseismology
Living_Reviews_in_Solar_Physics/papers/06_longcope_2005	longcope2005topological	Living_Reviews_in_Solar_Physics	6	x	Topological Methods for the Analysis of Solar Magnetic Fields
Living_Reviews_in_Solar_Physics/papers/07_berdyugina_2005	berdyugina2005starspots	Living_Reviews_in_Solar_Physics	7	x	Starspots: A Key to the Stellar Dynamo
Living_Reviews_in_Solar_Physics/papers/08_marsch_2006	marsch2006kinetic	Living_Reviews_in_Solar_Physics	8	x	Kinetic Physics of the Solar Corona and Solar Wind
Living_Reviews_in_Solar_Physics/papers/09_schwenn_2006	schwenn2006space	Living_Reviews_in_Solar_Physics	9	x	Space Weather: The Solar Perspective
Living_Reviews_in_Solar_Physics/papers/10_pulkkinen_2007	pulkkinen2007space	Living_Reviews_in_Solar_Physics	10	x	Space Weather: Terrestrial Perspective
Living_Reviews_in_Solar_Physics/papers/11_haigh_2007	haigh2007sun	Living_Reviews_in_Solar_Physics	11	x	The Sun and the Earth's Climate
Living_Reviews_in_Solar_Physics/papers/12_gudel_2007	gudel2007sun	Living_Reviews_in_Solar_Physics	12	x	The Sun in Time: Activity and Environment
Living_Reviews_in_Solar_Physics/papers/13_benz_2008	benz2008flare	Living_Reviews_in_Solar_Physics	13	x	Flare Observations
Living_Reviews_in_Solar_Physics/papers/14_hall_2008	hall2008stellar	Living_Reviews_in_Solar_Physics	14	x	Stellar Chromospheric Activity
Living_Reviews_in_Solar_Physics/papers/15_howe_2009	howe2009solar	Living_Reviews_in_Solar_Physics	15	x	Solar Interior Rotation and its Variation
Living_Reviews_in_Solar_Physics/papers/16_nordlund_2009	nordlund2009solar	Living_Reviews_in_Solar_Physics	16	x	Solar Surface Convection
Living_Reviews_in_Solar_Physics/papers/17_cranmer_2009	cranmer2009coronal	Living_Reviews_in_Solar_Physics	17	x	Coronal Holes
Living_Reviews_in_Solar_Physics/papers/18_fan_2009	fan2009magnetic	Living_Reviews_in_Solar_Physics	18	x	Magnetic Fields in the Solar Convection Zone
Living_Reviews_in_Solar_Physics/papers/19_rieutord_2010	rieutord2010suns	Living_Reviews_in_Solar_Physics	19	x	The Sun's Supergranulation
Living_Reviews_in_Solar_Physics/papers/20_charbonneau_2010	charbonneau2010dynamo	Living_Reviews_in_Solar_Physics	20	x	Dynamo Models of the Solar Cycle
Living_Reviews_in_Solar_Physics/papers/21_ofman_2010	ofman2010wave	Living_Reviews_in_Solar_Physics	21	x	Wave Modeling of the Solar Wind
Living_Reviews_in_Solar_Physics/papers/22_chen_2011	chen2011coronal	Living_Reviews_in_Solar_Physics	22	x	Coronal Mass Ejections: Models and Their Observational Basis
Living_Reviews_in_Solar_Physics/papers/23_rimmele_2011	rimmele2011solar	Living_Reviews_in_Solar_Physics	23	x	Solar Adaptive Optics
Living_Reviews_in_Solar_Physics/papers/24_rempel_2011	rempel2011sunspot	Living_Reviews_in_Solar_Physics	24	x	Sunspot Modeling: From Simplified Models to Radiative MHD Simulations
Living_Reviews_in_Solar_Physics/papers/25_borrero_2011	borrero2011magnetic	Living_Reviews_in_Solar_Physics	25	x	Magnetic Structure of Sunspots
Living_Reviews_in_Solar_Physics/papers/26_aschwanden_2011	aschwanden2011solar	Living_Reviews_in_Solar_Physics	26	x	Solar Stereoscopy and Tomography
Living_Reviews_in_Solar_Physics/papers/27_shibata_2011	shibata2011solar	Living_Reviews_in_Solar_Physics	27	x	Solar Flares: Magnetohydrodynamic Processes
Living_Reviews_in_Solar_Physics/papers/28_reiners_2012	reiners2012observations	Living_Reviews_in_Solar_Physics	28	x	Observations of Cool-Star Magnetic Fields
Living_Reviews_in_Solar_Physics/papers/29_webb_2012	webb2012coronal	Living_Reviews_in_Solar_Physics	29	x	Coronal Mass Ejections: Observations
Living_Reviews_in_Solar_Physics/papers/30_stein_2012	stein2012solar	Living_Reviews_in_Solar_Physics	30	x	Solar Surface Magneto-Convection
Living_Reviews_in_Solar_Physics/papers/31_mackay_2012	mackay2012suns	Living_Reviews_in_Solar_Physics	31	x	The Sun's Global Photospheric and Coronal Magnetic Fields: Observations and Models
Living_Reviews_in_Solar_Physics/papers/32_bruno_2013	bruno2013solar	Living_Reviews_in_Solar_Physics	32	x	The Solar Wind as a Turbulence Laboratory
Living_Reviews_in_Solar_Physics/papers/33_potgieter_2013	potgieter2013solar	Living_Reviews_in_Solar_Physics	33	x	Solar Modulation of Cosmic Rays
Living_Reviews_in_Solar_Physics/papers/34_lockwood_2013	lockwood2013reconstruction	Living_Reviews_in_Solar_Physics	34	x	Reconstruction and Prediction of Variations in the Open Solar Magnetic Flux and Interplanetary Conditions
Living_Reviews_in_Solar_Physics/papers/35_owens_2013	owens2013heliospheric	Living_Reviews_in_Solar_Physics	35	x	The Heliospheric Magnetic Field
Living_Reviews_in_Solar_Physics/papers/36_parenti_2014	parenti2014solar	Living_Reviews_in_Solar_Physics	36	x	Solar Prominences: Observations
Living_Reviews_in_Solar_Physics/papers/37_penn_2014	penn2014infrared	Living_Reviews_in_Solar_Physics	37	x	Infrared Solar Physics
Living_Reviews_in_Solar_Physics/papers/38_cheung_2014	cheung2014flux	Living_Reviews_in_Solar_Physics	38	x	Flux Emergence (Theory)
Living_Reviews_in_Solar_Physics/papers/39_reale_2014	reale2014coronal	Living_Reviews_in_Solar_Physics	39	x	Coronal Loops: Observations and Modeling of Confined Plasma
Living_Reviews_in_Solar_Physics/papers/40_van_drielgesztelyi_2015	vandrielgesztelyi2015evolution	Living_Reviews_in_Solar_Physics	40	x	Evolution of Active Regions
Living_Reviews_in_Solar_Physics/papers/41_laming_2015	laming2015fip	Living_Reviews_in_Solar_Physics	41	x	The FIP and Inverse FIP Effects in Solar and Stellar Coronae
Living_Reviews_in_Solar_Physics/papers/42_warmuth_2015	warmuth2015largescale	Living_Reviews_in_Solar_Physics	42	x	Large-scale Globally Propagating Coronal Waves
Living_Reviews_in_Solar_Physics/papers/43_hathaway_2015	hathaway2015solar	Living_Reviews_in_Solar_Physics	43	x	The Solar Cycle
Living_Reviews_in_Solar_Physics/papers/44_petrie_2015	petrie2015solar	Living_Reviews_in_Solar_Physics	44	x	Solar Magnetism in the Polar Regions
Living_Reviews_in_Solar_Physics/papers/45_khomenko_2015	khomenko2015oscillations	Living_Reviews_in_Solar_Physics	45	x	Oscillations and Waves in Sunspots
Living_Reviews_in_Solar_Physics/papers/46_poletto_2015	poletto2015solar	Living_Reviews_in_Solar_Physics	46	x	Solar Coronal Plumes
Living_Reviews_in_Solar_Physics/papers/47_houdek_2015	houdek2015interaction	Living_Reviews_in_Solar_Physics	47	x	Interaction Between Convection and Pulsation
Living_Reviews_in_Solar_Physics/papers/48_prieto_2016	prieto2016solar	Living_Reviews_in_Solar_Physics	48	x	Solar and Stellar Photospheric Abundances
Living_Reviews_in_Solar_Physics/papers/49_basu_2016	basu2016global	Living_Reviews_in_Solar_Physics	49	x	Global Seismology of the Sun
Living_Reviews_in_Solar_Physics/papers/50_desai_2016	desai2016large	Living_Reviews_in_Solar_Physics	50	x	Large Gradual Solar Energetic Particle Events
Living_Reviews_in_Solar_Physics/papers/51_iniesta_2016	iniesta2016inversion	Living_Reviews_in_Solar_Physics	51	x	Inversion of the Radiative Transfer Equation for Polarized Light
Living_Reviews_in_Solar_Physics/papers/52_usoskin_2017	usoskin2017history	Living_Reviews_in_Solar_Physics	52	x	A History of Solar Activity over Millennia
Living_Reviews_in_Solar_Physics/papers/53_brun_2017	brun2017magnetism	Living_Reviews_in_Solar_Physics	53	x	Magnetism, Dynamo Action and the Solar-Stellar Connection
Living_Reviews_in_Solar_Physics/papers/54_kilpua_2017	kilpua2017coronal	Living_Reviews_in_Solar_Physics	54	x	Coronal Mass Ejections and Their Sheath Regions in Interplanetary Space
Living_Reviews_in_Solar_Physics/papers/55_richardson_2018	richardson2018solar	Living_Reviews_in_Solar_Physics	55	x	Solar Wind Stream Interaction Regions Throughout the Heliosphere
Living_Reviews_in_Solar_Physics/papers/56_narita_2018	narita2018space	Living_Reviews_in_Solar_Physics	56	x	Space–Time Structure and Wavevector Anisotropy in Space Plasma Turbulence
Living_Reviews_in_Solar_Physics/papers/57_arregui_2018	arregui2018prominence	Living_Reviews_in_Solar_Physics	57	x	Prominence Oscillations
Living_Reviews_in_Solar_Physics/papers/58_gombosi_2018	gombosi2018extended	Living_Reviews_in_Solar_Physics	58	x	Extended MHD Modeling of the Steady Solar Corona and the Solar Wind
Living_Reviews_in_Solar_Physics/papers/59_zanna_2018	zanna2018solar	Living_Reviews_in_Solar_Physics	59	x	Solar UV and X-ray Spectral Diagnostics
Living_Reviews_in_Solar_Physics/papers/60_rincon_2018	rincon2018suns	Living_Reviews_in_Solar_Physics	60	x	The Sun's Supergranulation (update)
Living_Reviews_in_Solar_Physics/papers/61_gibson_2018	gibson2018solar	Living_Reviews_in_Solar_Physics	61	x	Solar Prominences: Theory and Models
Living_Reviews_in_Solar_Physics/papers/62_rubio_2019	rubio2019quiet	Living_Reviews_in_Solar_Physics	62	x	Quiet Sun Magnetic Fields: An Observational View
Living_Reviews_in_Solar_Physics/papers/63_madjarska_2019	madjarska2019coronal	Living_Reviews_in_Solar_Physics	63	x	Coronal Bright Points
Living_Reviews_in_Solar_Physics/papers/64_toriumi_2019	toriumi2019flareproductive	Living_Reviews_in_Solar_Physics	64	x	Flare-Productive Active Regions
Living_Reviews_in_Solar_Physics/papers/65_garcia_2019	garcia2019asteroseismology	Living_Reviews_in_Solar_Physics	65	x	Asteroseismology of Solar-Type Stars
Living_Reviews_in_Solar_Physics/papers/66_verscharen_2019	verscharen2019multiscale	Living_Reviews_in_Solar_Physics	66	x	The Multi-Scale Nature of the Solar Wind
Living_Reviews_in_Solar_Physics/papers/67_arlt_2020	arlt2020historical	Living_Reviews_in_Solar_Physics	67	x	Historical Sunspot Records
Living_Reviews_in_Solar_Physics/papers/68_petrovay_2020	petrovay2020solar	Living_Reviews_in_Solar_Physics	68	x	Solar Cycle Prediction
Living_Reviews_in_Solar_Physics/papers/69_pontin_2020	pontin2020parker	Living_Reviews_in_Solar_Physics	69	x	The Parker Problem: Existence of Smooth Force-Free Fields and Coronal Heating
Living_Reviews_in_Solar_Physics/papers/70_leenaarts_2020	leenaarts2020radiation	Living_Reviews_in_Solar_Physics	70	x	Radiation Hydrodynamics in Simulations of the Solar Atmosphere
Living_Reviews_in_Solar_Physics/papers/71_charbonneau_2020	charbonneau2020dynamo	Living_Reviews_in_Solar_Physics	71	x	Dynamo Models of the Solar Cycle (update)
Living_Reviews_in_Solar_Physics/papers/72_wiegelmann_2021	wiegelmann2021solar	Living_Reviews_in_Solar_Physics	72	x	Solar Force-Free Magnetic Fields
Living_Reviews_in_Solar_Physics/papers/73_christensendalsgaard_2021	christensendalsgaard2021solar	Living_Reviews_in_Solar_Physics	73	x	Solar Structure and Evolution
Living_Reviews_in_Solar_Physics/papers/74_vidotto_2021	vidotto2021evolution	Living_Reviews_in_Solar_Physics	74	x	The Evolution of the Solar Wind
Living_Reviews_in_Solar_Physics/papers/75_temmer_2021	temmer2021space	Living_Reviews_in_Solar_Physics	75	x	Space Weather: The Solar Perspective (update)
Living_Reviews_in_Solar_Physics/papers/76_fan_2021	fan2021magnetic	Living_Reviews_in_Solar_Physics	76	x	Magnetic Fields in the Solar Convection Zone (update)
Living_Reviews_in_Solar_Physics/papers/77_pontin_2022	pontin2022magnetic	Living_Reviews_in_Solar_Physics	77	x	Magnetic Reconnection: MHD Theory and Modelling
Living_Reviews_in_Solar_Physics/papers/78_cliver_2022	cliver2022extreme	Living_Reviews_in_Solar_Physics	78	x	Extreme Solar Events
Living_Reviews_in_Solar_Physics/papers/79_hanasoge_2022	hanasoge2022surface	Living_Reviews_in_Solar_Physics	79	x	Surface and Interior Meridional Circulation in the Sun
Living_Reviews_in_Solar_Physics/papers/80_jess_2023	jess2023waves	Living_Reviews_in_Solar_Physics	80	x	Waves in the Lower Solar Atmosphere: The Dawn of Next-Generation Solar Telescopes
Living_Reviews_in_Solar_Physics/papers/81_usoskin_2023	usoskin2023history	Living_Reviews_in_Solar_Physics	81	x	A History of Solar Activity over Millennia (update)
Living_Reviews_in_Solar_Physics/papers/82_karak_2023	karak2023models	Living_Reviews_in_Solar_Physics	82	x	Models for the Long-Term Variations of Solar Activity
Living_Reviews_in_Solar_Physics/papers/83_ramos_2023	ramos2023machine	Living_Reviews_in_Solar_Physics	83	x	Machine Learning in Solar Physics
Living_Reviews_in_Solar_Physics/papers/84_kowalski_2024	kowalski2024stellar	Living_Reviews_in_Solar_Physics	84	x	Stellar Flares
Living_Reviews_in_Solar_Physics/papers/85_kopp_2025	kopp2025solar	Living_Reviews_in_Solar_Physics	85	x	Solar Irradiance Measurements
Living_Reviews_in_Solar_Physics/papers/86_veronig_2025	veronig2025coronal	Living_Reviews_in_Solar_Physics	86	x	Coronal Dimmings and What They Tell Us About Solar and Stellar Coronal Mass Ejections
Living_Reviews_in_Solar_Physics/papers/87_keppens_2025	keppens2025modeling	Living_Reviews_in_Solar_Physics	87	x	Modeling Multiphase Plasma in the Corona: Prominences and Rain
Low_SNR_Imaging/papers/01_donoho_1994	donoho1994ideal	Low_SNR_Imaging	1	x	Ideal Spatial Adaptation by Wavelet Shrinkage (VisuShrink)
Low_SNR_Imaging/papers/02_donoho_1995	donoho1995adapting	Low_SNR_Imaging	2	x	Adapting to Unknown Smoothness via Wavelet Shrinkage (SureShrink)
Low_SNR_Imaging/papers/03_chang_2000	chang2000adaptive	Low_SNR_Imaging	3	x	Adaptive Wavelet Thresholding for Image Denoising and Compression (BayesShrink)
Low_SNR_Imaging/papers/04_buades_2005	buades2005nonlocal	Low_SNR_Imaging	4	x	A Non-Local Algorithm for Image Denoising (NLM)
Low_SNR_Imaging/papers/05_do_2005	do2005contourlet	Low_SNR_Imaging	5	x	The Contourlet Transform: An Efficient Directional Multiresolution Image Representation
Low_SNR_Imaging/papers/06_candes_2006	candes2006fast	Low_SNR_Imaging	6	x	Fast Discrete Curvelet Transforms
Low_SNR_Imaging/papers/07_dabov_2007	dabov2007image	Low_SNR_Imaging	7	x	Image Denoising by Sparse 3-D Transform-Domain Collaborative Filtering (BM3D)
Low_SNR_Imaging/papers/08_easley_2008	easley2008sparse	Low_SNR_Imaging	8	x	Sparse Directional Image Representations using the Discrete Shearlet Transform
Low_SNR_Imaging/papers/09_maggioni_2012	maggioni2012video	Low_SNR_Imaging	9	x	Video Denoising, Deblocking, and Enhancement Through Separable 4-D Nonlocal Spatiotemporal Transforms (V-BM4D)
Low_SNR_Imaging/papers/10_maggioni_2013	maggioni2013nonlocal	Low_SNR_Imaging	10	x	Nonlocal Transform-Domain Filter for Volumetric Data Denoising and Reconstruction (BM4D)
Low_SNR_Imaging/papers/11_anscombe_1948	anscombe1948transformation	Low_SNR_Imaging	11	x	The Transformation of Poisson, Binomial and Negative-Binomial Data (Anscombe Transform)
Low_SNR_Imaging/papers/12_deledalle_2010	deledalle2010poisson	Low_SNR_Imaging	12	x	Poisson NL Means: Unsupervised Non-local Means for Poisson Noise
Low_SNR_Imaging/papers/13_luisier_2011	luisier2011image	Low_SNR_Imaging	13	x	Image Denoising in Mixed Poisson–Gaussian Noise (PURE-LET)
Low_SNR_Imaging/papers/14_makitalo_2013	makitalo2013optimal	Low_SNR_Imaging	14	x	Optimal Inversion of the Generalized Anscombe Transformation for Poisson–Gaussian Noise
Low_SNR_Imaging/papers/15_buchholz_2019	buchholz2019cryocare	Low_SNR_Imaging	15	x	Cryo-CARE: Content-Aware Image Restoration for Cryo-Electron Tomography
Low_SNR_Imaging/papers/16_lehtinen_2018	lehtinen2018noise2noise	Low_SNR_Imaging	16	x	Noise2Noise: Learning Image Restoration without Clean Data
Low_SNR_Imaging/papers/17_krull_2019	krull2019noise2void	Low_SNR_Imaging	17	x	Noise2Void — Learning Denoising from Single Noisy Images
Low_SNR_Imaging/papers/18_batson_2019	batson2019noise2self	Low_SNR_Imaging	18	x	Noise2Self: Blind Denoising by Self-Supervision
Low_SNR_Imaging/papers/19_quan_2020	quan2020self2self	Low_SNR_Imaging	19	x	Self2Self with Dropout: Learning Self-Supervised Denoising from Single Image
Low_SNR_Imaging/papers/20_huang_2021	huang2021neighbor2neighbor	Low_SNR_Imaging	20	x	Neighbor2Neighbor: Self-Supervised Denoising from Single Noisy Images
Low_SNR_Imaging/papers/21_pang_2021	pang2021recorruptedtorecorrupted	Low_SNR_Imaging	21	x	Recorrupted-to-Recorrupted: Unsupervised Deep Learning for Image Denoising (R2R)
Low_SNR_Imaging/papers/22_wang_2022	wang2022blind2unblind	Low_SNR_Imaging	22	x	Blind2Unblind: Self-Supervised Image Denoising with Visible Blind Spots
Low_SNR_Imaging/papers/23_van_dokkum_2001	vandokkum2001cosmicray	Low_SNR_Imaging	23	x	Cosmic-Ray Rejection by Laplacian Edge Detection (L.A.Cosmic)
